query_name,taxid,scientific_name,rank,lineage,synonyms
Candidate division TM7,95818.0,Candidatus Saccharimonadota,phylum,cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla,"""Candidatus Saccharibacteria"" Albertsen et al. 2013"
Clostridium,1485.0,Clostridium,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae,Anaerobacter; Anaerobacter Duda et al. 1996
Fusobacteria,203490.0,Fusobacteriia,class,cellular organisms; Bacteria; Fusobacteriati; Fusobacteriota,Fusobacteria
Lactobacillus,1578.0,Lactobacillus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae,Paralactobacillus
Olsenella,133925.0,Olsenella,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae,
Porphyromonas uenonis,281920.0,Porphyromonas uenonis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas,
Shuttleworthia,177971.0,Shuttleworthella,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,Shuttleworthia
Streptobacillus,34104.0,Streptobacillus,genus,cellular organisms; Bacteria; Fusobacteriati; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae,Haverhillia
Propionibacterium,1743.0,Propionibacterium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae,
Propionibacterium acnes,1747.0,Cutibacterium acnes,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Cutibacterium,Bacillus acnes; Corynebacterium acnes; Cutibacterium acnes (Gilchrist 1900) Scholz and Kilian 2016; Propionibacterium acnes
Streptococcus,1301.0,Streptococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae,
Alcaligenaceae,506.0,Alcaligenaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales,
Coriobacteriaceae,84107.0,Coriobacteriaceae,family,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales,
Erysipelotrichaceae,128827.0,Erysipelotrichaceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales,
Methanobrevibacter smithii,2173.0,Methanobrevibacter smithii,species,cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter,Methanocatella smithii
Prevotellaceae,171552.0,Prevotellaceae,family,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales,
Enterobacteriaceae,543.0,Enterobacteriaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales,Enterobacteraceae
Faecalibacterium prausnitzii,853.0,Faecalibacterium prausnitzii,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Faecalibacterium,Bacillus mucosus anaerobius; Bacteroides praussnitzii; Fusobacterium prausnitzii
Enterobacter aerogenes,548.0,Klebsiella aerogenes,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella,Aerobacter aerogenes; Enterobacter aerogenes; Klebsiella mobilis
Enterobacter hormaechei,158836.0,Enterobacter hormaechei,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,Enterobacter hormaechei O'Hara et al. 1990
Enterococcus,1350.0,Enterococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae,
Gammaproteobacteria,1236.0,Gammaproteobacteria,class,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota,"Proteobacteria gamma subdivision; Pseudomonadia; Purple bacteria, gamma subdivision; gamma proteobacteria; gamma subdivision"
Klebsiella pneumoniae,573.0,Klebsiella pneumoniae,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella; Klebsiella pneumoniae complex,'Klebsiella aerogenes' (Kruse) Taylor et al. 1956; Bacillus pneumoniae; Bacterium pneumoniae crouposae; Hyalococcus pneumoniae; Klebsiella pneumoniae aerogenes
Shigella dysenteriae,622.0,Shigella dysenteriae,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella,Bacillus dysenteriae; Bacillus dysentericus; Bacillus shigae; Eberthella dysenteriae; Shigella shigae
Staphylococcus,1279.0,Staphylococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae,Aurococcus
Citrobacter,544.0,Citrobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae,Levinea
Klebsiella,570.0,Klebsiella,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group,Calymmatobacterium; Donovania; Hyalococcus
Haemophilus,724.0,Haemophilus,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae,
Bacilli,91061.0,Bacilli,class,cellular organisms; Bacteria; Bacillati; Bacillota,Bacillus/Lactobacillus/Streptococcus group; Firmibacteria
